"id","団体名","代表者名","連絡者名","住所","電話番号","団体予約か否か","利用開始日時","利用終了日時","主催関係者数","参集人員数","利用目的","入場料の徴収","利用施設の名称","附属設備・器具","特別設備","予約日","予約状態"
"2","","山田太郎","山田太郎","稚内市若葉台1-2290-28","+819012345678","False","2022-06-01 10:00:00+00:00","2022-06-01 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"5","","山田太郎","山田太郎","稚内市若葉台1-2290-28","+819012345678","False","2022-06-20 10:00:00+00:00","2022-06-20 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"7","加藤秀樹","","加藤秀樹","稚内市若葉台1-2290-28","+819012345678","True","2021-03-28 03:00:00+00:00","2021-03-28 06:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"8","","清水雄太","清水雄太","稚内市若葉台1-2290-28","+819012345678","False","2021-03-29 06:00:00+00:00","2021-03-29 09:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"12","加藤秀樹","","加藤秀樹","稚内市若葉台1-2290-28","+819012345678","True","2021-04-03 02:00:00+00:00","2021-04-03 05:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"19","田中将司","","田中将司","稚内市若葉台1-2290-28","+819012345678","True","2022-03-10 10:00:00+00:00","2022-03-10 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"20","","小鳥遊祥子","小鳥遊祥子","稚内市若葉台1-2290-28","+819012345678","False","2022-03-15 10:00:00+00:00","2022-03-15 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"31","","佐々木五郎","佐々木五郎","稚内市若葉台1-2290-28","+819012345678","False","2022-08-25 10:00:00+00:00","2022-08-25 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"35","","小鳥遊祥子","小鳥遊祥子","稚内市若葉台1-2290-28","+819012345678","False","2022-10-21 10:00:00+00:00","2022-10-21 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
"37","加藤秀樹","","加藤秀樹","稚内市若葉台1-2290-28","+819012345678","True","2022-11-22 10:00:00+00:00","2022-11-22 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","承認"
