"id","団体名","代表者名","連絡者名","住所","電話番号","団体予約か否か","利用開始日時","利用終了日時","主催関係者数","参集人員数","利用目的","入場料の徴収","利用施設の名称","附属設備・器具","特別設備","予約日","予約状態"
"1","","山田太郎","山田太郎","稚内市若葉台1-2290-28","+819012345678","False","2022-05-03 10:00:00+00:00","2022-05-03 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"9","田中将司","","田中将司","稚内市若葉台1-2290-28","+819012345678","True","2022-05-03 10:00:00+00:00","2022-05-03 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"10","","小鳥遊祥子","小鳥遊祥子","稚内市若葉台1-2290-28","+819012345678","False","2021-03-31 05:00:00+00:00","2021-03-31 07:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"11","","佐々木五郎","佐々木五郎","稚内市若葉台1-2290-28","+819012345678","False","2021-04-02 10:00:00+00:00","2021-04-02 12:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"13","","清水雄太","清水雄太","稚内市若葉台1-2290-28","+819012345678","False","2021-03-28 07:00:00+00:00","2021-03-28 10:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"14","田中将司","","田中将司","稚内市若葉台1-2290-28","+819012345678","True","2021-03-30 06:00:00+00:00","2021-03-30 10:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"15","","小鳥遊祥子","小鳥遊祥子","稚内市若葉台1-2290-28","+819012345678","False","2021-04-01 06:00:00+00:00","2021-04-01 09:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"16","","佐々木五郎","佐々木五郎","稚内市若葉台1-2290-28","+819012345678","False","2021-04-03 02:00:00+00:00","2021-04-03 05:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"18","","清水雄太","清水雄太","稚内市若葉台1-2290-28","+819012345678","False","2022-02-28 01:00:00+00:00","2022-02-28 06:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"24","田中将司","","田中将司","稚内市若葉台1-2290-28","+819012345678","True","2022-06-10 10:00:00+00:00","2022-06-10 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"27","加藤秀樹","","加藤秀樹","稚内市若葉台1-2290-28","+819012345678","True","2022-07-03 10:00:00+00:00","2022-07-03 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
"36","","佐々木五郎","佐々木五郎","稚内市若葉台1-2290-28","+819012345678","False","2022-11-11 10:00:00+00:00","2022-11-11 13:00:00+00:00","5","0","個人使用","0","カーリング場","","","2021-08-24 21:23:59.194327+00:00","未承認"
