group_name,leader_name,contact_name,address,tel,is_group,delete_flag,start,end,organizer_number,participant_number,purpose,admission_fee,places_id,place_number,users_id
,山田太郎,山田太郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-05-03T10:00:00+09:00,2022-05-03T13:00:00+09:00,5,0,個人使用,0,1,1,1
,山田太郎,山田太郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-06-01T10:00:00+09:00,2022-06-01T13:00:00+09:00,5,0,個人使用,0,1,2,1
,山田太郎,山田太郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-06-10T10:00:00+09:00,2022-06-10T13:00:00+09:00,5,0,個人使用,0,1,3,1
,山田太郎,山田太郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-06-15T10:00:00+09:00,2022-06-15T13:00:00+09:00,5,0,個人使用,0,1,4,1
,山田太郎,山田太郎,稚内市若葉台1-2290-28,+819012345678,0,0,2022-06-20T10:00:00+09:00,2022-06-20T13:00:00+09:00,5,0,個人使用,0,1,1,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2021-04-01T01:00:00+09:00,2021-04-01T06:00:00+09:00,5,0,個人使用,0,1,2,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2021-03-28T03:00:00+09:00,2021-03-28T06:00:00+09:00,5,0,個人使用,0,1,3,1
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2021-03-29T06:00:00+09:00,2021-03-29T09:00:00+09:00,5,0,個人使用,0,1,4,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2021-03-30T04:00:00+09:00,2021-03-30T08:00:00+09:00,5,0,個人使用,0,2,1,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2021-03-31T05:00:00+09:00,2021-03-31T07:00:00+09:00,5,0,個人使用,0,3,1,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2021-04-02T10:00:00+09:00,2021-04-02T12:00:00+09:00,5,0,個人使用,0,4,1,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2021-04-03T02:00:00+09:00,2021-04-03T05:00:00+09:00,5,0,個人使用,0,5,1,1
,清水雄太,清水雄太,稚内市若葉台1-2290-28,+819012345678,0,0,2021-03-28T07:00:00+09:00,2021-03-28T10:00:00+09:00,5,0,個人使用,0,6,1,1
田中将司,,田中将司,稚内市若葉台1-2290-28,+819012345678,1,0,2021-03-30T06:00:00+09:00,2021-03-30T10:00:00+09:00,5,0,個人使用,0,7,1,1
,小鳥遊祥子,小鳥遊祥子,稚内市若葉台1-2290-28,+819012345678,0,0,2021-04-01T06:00:00+09:00,2021-04-01T09:00:00+09:00,5,0,個人使用,0,1,1,1
,佐々木五郎,佐々木五郎,稚内市若葉台1-2290-28,+819012345678,0,0,2021-04-03T02:00:00+09:00,2021-04-03T05:00:00+09:00,5,0,個人使用,0,1,2,1
加藤秀樹,,加藤秀樹,稚内市若葉台1-2290-28,+819012345678,1,0,2022-02-05T01:00:00+09:00,2022-02-05T04:00:00+09:00,5,0,個人使用,0,1,3,1
